ID,Gender,State,SEB,School,Prog,Read,Write,Math,Science,SST
70,Female,4,1,1,1,57,52,41,47,57
121,Male,4,2,1,3,68,59,53,63,61
86,Female,4,3,1,1,44,33,54,58,31
141,Female,4,3,1,3,63,44,47,53,56
172,Female,4,2,1,2,47,52,57,53,61
113,Female,4,2,1,2,44,52,51,63,61
50,Female,3,2,1,1,50,59,42,53,61
11,Female,1,2,1,2,34,46,45,39,36
84,Female,4,2,1,1,63,57,54,58,51
48,Female,3,2,1,2,57,55,52,50,51
75,Female,4,2,1,3,60,46,51,53,61
60,Female,4,2,1,2,57,65,51,63,61
95,Female,4,3,1,2,73,60,71,61,71
104,Female,4,3,1,2,54,63,57,55,46
38,Female,3,1,1,2,45,57,50,31,56
115,Female,4,1,1,1,42,49,43,50,56
76,Female,4,3,1,2,47,52,51,50,56
195,Female,4,2,2,1,57,57,60,58,56
114,Female,4,3,1,2,68,65,62,55,61
85,Female,4,2,1,1,55,39,57,53,46
167,Female,4,2,1,1,63,49,35,66,41
143,Female,4,2,1,3,63,63,75,72,66
41,Female,3,2,1,2,50,40,45,55,56
20,Female,1,3,1,2,60,52,57,61,61
12,Female,1,2,1,3,37,44,45,39,46
53,Female,3,2,1,3,34,37,46,39,31
154,Female,4,3,1,2,65,65,66,61,66
178,Female,4,2,2,3,47,57,57,58,46
196,Female,4,3,2,2,44,38,49,39,46
29,Female,2,1,1,1,52,44,49,55,41
126,Female,4,2,1,1,42,31,57,47,51
103,Female,4,3,1,2,76,52,64,64,61
192,Female,4,3,2,2,65,67,63,66,71
150,Female,4,2,1,3,42,41,57,72,31
199,Female,4,3,2,2,52,59,50,61,61
144,Female,4,3,1,1,60,65,58,61,66
200,Female,4,2,2,2,68,54,75,66,66
80,Female,4,3,1,2,65,62,68,66,66
16,Female,1,1,1,3,47,31,44,36,36
153,Female,4,2,1,3,39,31,40,39,51
176,Female,4,2,2,2,47,47,41,42,51
177,Female,4,2,2,2,55,59,62,58,51
168,Female,4,2,1,2,52,54,57,55,51
40,Female,3,1,1,1,42,41,43,50,41
62,Female,4,3,1,1,65,65,48,63,66
169,Female,4,1,1,1,55,59,63,69,46
49,Female,3,3,1,3,50,40,39,49,47
136,Female,4,2,1,2,65,59,70,63,51
189,Female,4,2,2,2,47,59,63,53,46
7,Female,1,2,1,2,57,54,59,47,51
27,Female,2,2,1,2,53,61,61,57,56
128,Female,4,3,1,2,39,33,38,47,41
21,Female,1,2,1,1,44,44,61,50,46
183,Female,4,2,2,2,63,59,49,55,71
